Symbol,RSI
VXRT,56.5
APPN,56.4
MGPI,56.4
HNI,56.4
WSFS,56.4
RPRX,56.4
LNN,56.3
MAC,56.3
ENS,56.3
PLUS,56.3
FAF,56.3
BRC,56.2
HAS,56.2
AX,56.2
FROG,56.1
KIDS,56.1
DX,56.1
APAC,56.1
DNLI,56.1
DRH,56.1
MOS,56.1
GEHC,56.1
BYND,56.0
LULU,56.0
LSCC,56.0
AVB,56.0
KR,56.0
AA,56.0
ROL,55.9
AMRX,55.9
SLP,55.9
NWE,55.8
PDFS,55.8
IMKTA,55.8
SAH,55.8
CUBE,55.7
DAN,55.7
SILK,55.7
UNF,55.7
ADBE,55.7
JAZZ,55.6
CYTK,55.6
MAN,55.6
RHI,55.6
SANM,55.6
MNDY,55.5
TRV,55.5
CACC,55.5
NUVL,55.5
RCKT,55.5
BANR,55.5
ANF,55.5
CLDT,55.5
AIG,55.4
ACAH,55.4
RCUS,55.4
RMD,55.3
SHAK,55.3
WDC,55.3
BL,55.3
BANF,55.3
DOCN,55.3
QLYS,55.3
KRNY,55.2
MIDD,55.2
NVDA,55.2
VRSK,55.1
IVT,55.1
ADP,55.1
NEO,55.1
STIX,55.0
VNT,55.0
LII,55.0
DBX,55.0
GABC,55.0
NRIX,54.9
DBRG,54.9
ATEC,54.9
AGTI,54.8
WABC,54.8
SNA,54.8
TGNA,54.8
VMEO,54.8
UHT,54.7
FTAI,54.7
AORT,54.7
PGR,54.7
BCC,54.7
SMSI,54.7
FFIN,54.7
OGS,54.6
SNPO,54.6
HEES,54.6
RL,54.6
AMK,54.6
BPOP,54.5
MGRC,54.5
MGEE,54.5
TW,54.5
TSLA,54.5
SNBR,54.5
NWL,54.5
IEX,54.4
AMPX,54.4
BFS,54.4
STE,54.4
KURA,54.4
OMC,54.3
WHR,54.3
NFLX,54.3
GH,54.2
BKNG,54.2
FA,54.2
KW,54.2
PRME,54.2
LUV,54.2
ADPT,54.2
AOMR,54.1
DOCS,54.1
NKE,54.1
CXM,54.1
CNP,54.1
CINF,54.1
GXO,54.0
SPWR,54.0
ALK,54.0
MBIN,54.0
GGR,54.0
NWTN,54.0
VIAV,53.9
EDIT,53.9
JBT,53.9
MDRX,53.9
BHIL,53.9
NTLA,53.8
HIG,53.8
WSBC,53.8
POST,53.8
GNE,53.8
AVPT,53.8
MATX,53.8
FOLD,53.8
ASND,53.7
AZTA,53.7
RKLB,53.7
KIND,53.7
SMTC,53.7
PVH,53.7
CWK,53.7
NXPL,53.7
PFC,53.6
MSA,53.6
TRMD,53.6
OPK,53.6
SRAD,53.6
CLOV,53.5
SAIC,53.5
TPX,53.5
TDC,53.5
APPS,53.5
BBWI,53.5
KNTE,53.5
MTD,53.4
DOV,53.4
ARMK,53.4
GNRC,53.4
ROVR,53.4
NSC,53.4
ABNB,53.3
LLYVK,53.3
GIS,53.2
MDB,53.2
AUPH,53.2
ENER,53.2
SWX,53.2
REYN,53.2
EVLV,53.2
DK,53.2
MAR,53.1
IAS,53.1
VSTO,53.1
SIRI,53.1
LNW,53.1
AGS,53.1
CVAC,53.0
SPNS,53.0
GSM,53.0
JHG,53.0
EQC,53.0
CB,52.9
RDNT,52.9
HSHP,52.9
AMT,52.9
TGI,52.9
FORR,52.9
CR,52.8
ECPG,52.7
NVEE,52.7
CTS,52.7
HY,52.7
MDU,52.7
EIG,52.6
KIM,52.6
SCOR,52.6
GLT,52.6
RUSHA,52.6
ARCT,52.6
CURV,52.6
CNMD,52.6
CASY,52.5
FHN,52.5
LPLA,52.5
SHEN,52.5
UPST,52.4
AGM,52.4
CELH,52.4
HALO,52.4
CDAY,52.4
CRVL,52.3
HD,52.3
ABCL,52.3
HLT,52.3
GMRE,52.3
ZG,52.3
OI,52.2
TRMB,52.1
WBD,52.1
TFSL,52.1
BDN,52.1
THG,52.1
KYMR,52.0
PNR,52.0
VERA,52.0
MTC,51.9
ARLO,51.9
SYBT,51.9
NXGN,51.8
WB,51.8
VZ,51.8
TREE,51.8
MRTN,51.8
RYZB,51.8
ALL,51.8
AVID,51.8
CYH,51.8
WVE,51.7
CVBF,51.7
OLLI,51.7
MKSI,51.7
HCA,51.7
MBC,51.7
FIX,51.6
KMX,51.6
LOW,51.6
SLRN,51.6
KRG,51.6
LOGI,51.6
AIRC,51.6
BBUC,51.6
DVAX,51.6
BCPC,51.6
GROM,51.6
CSIQ,51.6
HRMY,51.6
LANC,51.6
MET,51.5
ACCD,51.5
NDAQ,51.5
EPAM,51.5
OXBR,51.5
RYAAY,51.5
HRL,51.5
CFR,51.4
FNA,51.4
CNS,51.4
OII,51.3
DSGX,51.3
CTO,51.3
PCVX,51.3
SEM,51.2
CTKB,51.2
IMPL,51.2
CUZ,51.2
ALRN,51.2
AY,51.2
GLW,51.2
APPF,51.2
DAWN,51.2
HTHT,51.2
LIVN,51.1
YY,51.1
DOOR,51.1
JBHT,51.1
BKU,51.1
NWBI,51.1
UAA,51.1
CVI,51.1
KRNT,51.1
VBTX,51.1
HZO,51.1
NAVI,51.0
CARG,51.0
FI,51.0
IDCC,51.0
VNOM,51.0
FAZE,51.0
RGR,51.0
TENB,51.0
YELP,50.9
GME,50.9
ESS,50.9
CCL,50.9
APM,50.9
GNTY,50.8
CLPR,50.8
FRGE,50.8
MRCY,50.8
NEU,50.8
EXTR,50.8
BR,50.8
DV,50.8
PEPL,50.8
SOFI,50.8
WMS,50.8
ISTR,50.7
CTVA,50.7
CRTO,50.7
APLS,50.7
PAGP,50.7
GFF,50.7
ETN,50.7
KTOS,50.7
TH,50.6
AMEH,50.6
GRNT,50.6
CPB,50.6
CHCT,50.6
TYL,50.6
EW,50.6
LWLG,50.6
BIDU,50.6
AUR,50.6
FFIE,50.5
XP,50.5
SGRY,50.5
CDE,50.5
ADI,50.5
AZZ,50.4
IIPR,50.4
VERV,50.4
RIVN,50.4
BH,50.4
AYI,50.4
CSCO,50.4
IPAR,50.4
LW,50.3
SCL,50.3
MARA,50.3
SVC,50.3
PRG,50.3
AKRO,50.3
VGR,50.3
DPZ,50.2
TTC,50.2
CSV,50.2
VNO,50.1
DFIN,50.1
NX,50.1
EFX,50.1
EQBK,50.1
EVA,50.1
AHCO,50.1
BZH,50.1
CHCO,50.1
SYM,50.1
GRBK,50.0
AAOI,50.0
RGA,50.0
CVS,50.0
XPER,50.0
EBC,50.0
CCI,50.0
DOC,50.0
FL,49.9
GPN,49.9
FAST,49.9
BRO,49.9
BOX,49.9
KNF,49.9
CLF,49.8
SPXC,49.8
GPOR,49.8
COIN,49.8
ASML,49.8
SCRM,49.8
HOV,49.8
MVIS,49.8
PI,49.8
ABCB,49.8
NVT,49.8
GPMT,49.8
KRYS,49.8
MU,49.8
UA,49.7
HII,49.7
VICI,49.7
STX,49.7
BECN,49.7
ALTO,49.7
AFG,49.7
T,49.6
STAA,49.6
ROP,49.6
DKS,49.6
CPRI,49.6
AMRC,49.6
FCNCA,49.6
NTES,49.5
TPR,49.5
CBZ,49.5
IONS,49.5
FORM,49.5
GBTG,49.5
PLTK,49.5
META,49.5
MGM,49.4
WST,49.4
KD,49.4
FLS,49.4
PTVE,49.4
MRTX,49.4
SXI,49.3
WKC,49.3
LNTH,49.3
ARLP,49.3
AESI,49.3
CASH,49.3
ARM,49.3
TXG,49.3
TEX,49.2
CRS,49.2
ESLT,49.2
SSP,49.2
GWH,49.2
AVO,49.2
XPEL,49.2
NSSC,49.2
FLNG,49.1
CABO,49.1
DDS,49.1
GLUE,49.1
VRSN,49.1
AVGO,49.1
BIG,49.0
CBL,49.0
ICLR,49.0
BX,49.0
MCW,49.0
KEX,49.0
PODD,48.9
ADEA,48.9
HPP,48.9
NDSN,48.9
FNB,48.9
GRAB,48.9
MRNA,48.9
KAMN,48.9
CPK,48.9
CPRT,48.8
BG,48.8
HGV,48.8
HASI,48.8
USB,48.7
MCRI,48.7
PAYX,48.7
BALL,48.7
RSG,48.7
LYEL,48.7
URBN,48.6
MRUS,48.6
INVZ,48.6
ACHC,48.6
GCO,48.6
CNSL,48.6
BLKB,48.6
UNM,48.6
FBRX,48.6
DGX,48.6
TCBK,48.5
HLIO,48.5
IGT,48.5
IDXX,48.5
EE,48.5
ENTG,48.5
GALT,48.5
ASPN,48.5
BE,48.5
ACLS,48.5
MPW,48.4
CART,48.4
GHRS,48.4
PACB,48.3
VVV,48.3
LTHM,48.3
CALX,48.3
GFS,48.3
SNPS,48.3
GNL,48.3
CYBR,48.3
CME,48.3
VTOL,48.3
IDA,48.3
AEHR,48.2
FE,48.2
PNC,48.2
MSCI,48.2
CLNE,48.2
MTRN,48.2
CLH,48.2
EQR,48.1
MTB,48.1
NVTS,48.1
MODG,48.1
EMR,48.1
SSB,48.1
HLIT,48.1
HCI,48.1
UNFI,48.1
TLS,48.0
CACI,48.0
DVA,48.0
MTCH,48.0
GOGL,48.0
MCHP,48.0
ROIC,48.0
XPO,48.0
FLGT,47.9
LILAK,47.9
BHF,47.9
BSX,47.9
ENOV,47.9
BXC,47.9
CCK,47.9
DXCM,47.9
HOOD,47.8
LSTR,47.8
TNGX,47.8
FG,47.8
EHAB,47.8
INDI,47.8
DIS,47.8
SPSC,47.8
SYF,47.7
ODD,47.7
TLRY,47.7
BHVN,47.7
TYRA,47.6
MAXN,47.6
VAQC,47.6
MXL,47.6
CDW,47.6
GILD,47.6
ULH,47.6
SCI,47.6
ADSK,47.6
GTLS,47.5
SAIA,47.5
FIBK,47.5
RLAY,47.5
HLLY,47.5
MATW,47.4
AXSM,47.4
LGND,47.4
JNPR,47.4
EXP,47.4
BV,47.3
FBNC,47.3
RBCAA,47.3
EAT,47.3
KN,47.3
ASH,47.3
TXRH,47.2
EBS,47.2
PCAR,47.2
BUSE,47.2
AMN,47.1
AMPY,47.1
SSD,47.1
UNP,47.1
ADNT,47.1
NBR,47.1
BARK,47.1
THCH,47.1
LBTYA,47.1
WMT,47.1
LFUS,47.1
XEL,47.0
CRSP,47.0
NEGG,47.0
HQY,47.0
BHE,47.0
OXM,47.0
BNL,47.0
SPT,46.9
INTC,46.9
RGLD,46.9
HRI,46.9
ATKR,46.9
INBK,46.8
MC,46.8
CYCN,46.8
KC,46.8
CIEN,46.7
FOX,46.7
ARGX,46.7
ATGE,46.7
KHC,46.7
LXP,46.7
FELE,46.7
HOPE,46.7
IONQ,46.7
NXPI,46.7
FIS,46.7
HIW,46.7
EBAY,46.7
FSR,46.6
LYV,46.6
JILL,46.6
CLW,46.6
ACRS,46.6
CHTR,46.6
SNX,46.5
MSI,46.5
CARV,46.5
GOOGL,46.5
TROW,46.5
PYPL,46.5
ORLY,46.5
CVNA,46.4
BKKT,46.4
KELYA,46.4
HUBG,46.4
JLL,46.4
CNO,46.4
KODK,46.4
AUB,46.4
BATRK,46.4
ARRY,46.4
CHH,46.4
NXRT,46.4
NPO,46.4
CFLT,46.3
AMRK,46.3
STNE,46.3
PAYC,46.3
HLTH,46.3
HMN,46.3
CMP,46.3
GEF.B,46.3
UVV,46.3
ACVA,46.3
GSHD,46.3
FRPT,46.2
TGT,46.2
ON,46.2
NYT,46.2
MLCO,46.1
RVMD,46.1
ITCI,46.1
NOVT,46.1
IP,46.0
SIGI,46.0
BERY,46.0
CENTA,45.9
BWA,45.9
DLR,45.9
CRI,45.9
NNBR,45.9
AGNC,45.9
RC,45.8
BNTX,45.8
SWAV,45.8
PLYA,45.8
FHB,45.7
IQV,45.7
FIZZ,45.7
TPG,45.7
IBM,45.7
TCOM,45.7
PM,45.7
INGR,45.7
AEP,45.6
CIM,45.6
NVR,45.6
MDT,45.6
NVEI,45.6
SBUX,45.6
CHCI,45.6
TRUP,45.5
FRME,45.5
CERT,45.5
PIII,45.5
BVH,45.5
AVY,45.5
RWT,45.4
FDP,45.4
DCOM,45.4
ETWO,45.4
LI,45.4
RRX,45.4
ASB,45.4
OGE,45.4
FSLR,45.3
MCY,45.3
OCFC,45.3
GOOG,45.3
ICE,45.3
CMCO,45.3
EBTC,45.3
ENPH,45.2
FTRE,45.2
FFBC,45.2
SJW,45.2
SCHL,45.2
ONB,45.2
RMGC,45.2
G,45.1
PG,45.1
ABBV,45.1
ALIT,45.1
IRTC,45.1
SFM,45.1
CHEF,45.1
ACN,45.1
SF,45.1
PFG,45.0
CL,45.0
MTN,45.0
HPQ,45.0
CODI,45.0
VLTO,45.0
CNDT,45.0
AEL,45.0
WWD,44.9
MANH,44.9
TWNK,44.9
AMAT,44.9
AFL,44.9
TRS,44.9
NYMT,44.9
GRC,44.9
NEOG,44.8
AVDX,44.8
PRCT,44.8
PEAK,44.8
PRA,44.8
BOKF,44.8
AMBC,44.8
AIN,44.7
GRMN,44.7
C,44.7
MGNI,44.7
ZD,44.7
GTLB,44.7
DTM,44.6
EQIX,44.5
PSA,44.5
ARWR,44.5
HTLD,44.5
HLVX,44.5
NLY,44.5
EGP,44.5
CLDX,44.5
GPS,44.4
AXON,44.4
MHK,44.4
VC,44.4
THC,44.4
TGTX,44.4
A,44.4
CHGG,44.4
WTS,44.4
DEI,44.4
CLBK,44.4
RS,44.3
ACIW,44.3
PPG,44.3
LDOS,44.3
PENN,44.3
DRI,44.3
VLY,44.2
UCTT,44.2
ROK,44.2
TNDM,44.2
NUTX,44.2
FIVE,44.1
SSYS,44.1
JELD,44.1
BTU,44.1
ACDC,44.1
AN,44.1
CPF,44.0
VCYT,44.0
PB,44.0
CMCSA,44.0
CEIX,44.0
VTLE,44.0
KFS,43.9
ALG,43.9
HT,43.9
CANO,43.9
MOG.A,43.9
EXR,43.8
AVAV,43.8
CMS,43.8
IPGP,43.8
FTNT,43.7
HAYW,43.7
AIT,43.7
GRNQ,43.7
BKE,43.7
AIZ,43.7
ACGL,43.6
FOA,43.6
BHR,43.6
PATK,43.6
CUBI,43.6
GPRE,43.6
NBHC,43.6
REAL,43.6
SNCY,43.5
LH,43.5
AM,43.5
CRSR,43.5
EVRG,43.5
PCG,43.5
SO,43.5
PARR,43.5
LMFA,43.4
SSRM,43.4
CMC,43.4
KROS,43.4
ENVX,43.4
TECH,43.3
HWC,43.3
PFS,43.3
BRID,43.3
MVLA,43.3
D,43.3
SFIX,43.3
PZZA,43.2
AVA,43.2
CAR,43.2
ITW,43.2
MCK,43.2
EAF,43.1
HRB,43.1
ORI,43.1
WDAY,43.1
WCC,43.1
MMYT,43.0
MA,43.0
INMB,43.0
RPT,43.0
IBOC,43.0
DT,43.0
HAE,42.9
KMT,42.9
ALGM,42.9
CHS,42.9
MBLY,42.8
TIGR,42.8
ORA,42.8
MSEX,42.8
VST,42.8
PDCO,42.8
AJG,42.7
O,42.7
IMAX,42.7
PAG,42.7
RDUS,42.6
L,42.6
K,42.6
ENFN,42.6
HLMN,42.6
SLM,42.6
AON,42.6
FRT,42.6
AAPL,42.5
PECO,42.5
NXST,42.5
CMG,42.4
QCOM,42.4
MAT,42.4
ETRN,42.4
COHU,42.4
FRSH,42.3
BKSY,42.3
AEVA,42.3
SITC,42.3
QDEL,42.3
FBRT,42.3
BEN,42.3
HR,42.3
MPWR,42.3
EYPT,42.2
AAP,42.2
SBCF,42.2
PRVA,42.2
CTSH,42.2
SEDG,42.1
PEGA,42.1
AZPN,42.1
MORN,42.1
NVMI,42.1
MOV,42.1
ATI,42.1
CROX,42.1
HPE,42.0
PBI,42.0
OPCH,42.0
CONX,42.0
BIO,41.9
NYAX,41.9
PNFP,41.9
QFIN,41.9
TRDA,41.9
DCI,41.9
SEIC,41.9
WT,41.9
OHI,41.9
SBH,41.8
VRE,41.8
TBLA,41.8
ASTE,41.8
ICFI,41.8
PLUG,41.7
ODFL,41.7
CRM,41.7
KOP,41.7
RILY,41.7
NTRS,41.7
BBY,41.7
HOMB,41.7
IOSP,41.7
JD,41.7
GTY,41.7
AMWL,41.7
SMMT,41.7
IPI,41.6
LNC,41.6
INBX,41.6
ATO,41.6
MDGL,41.6
UPS,41.6
FCF,41.6
DRS,41.6
ARI,41.5
WSR,41.5
LPG,41.5
AGIO,41.5
AKR,41.5
GDOT,41.4
WU,41.4
KEY,41.4
WLK,41.4
DM,41.4
AEO,41.4
PBF,41.4
REX,41.4
LYFT,41.3
EEX,41.3
VOYA,41.3
SHOO,41.3
OTEX,41.3
AXL,41.3
SUPN,41.3
PSMT,41.2
BOH,41.2
MMM,41.2
KOS,41.2
STC,41.1
FCX,41.1
CHRW,41.1
TAOP,41.1
BXP,41.1
SNY,41.1
ZION,41.0
PARA,41.0
CHE,41.0
WING,41.0
NSP,41.0
GHC,41.0
MMI,40.9
COR,40.9
SWKS,40.9
BRK.B,40.9
CFFN,40.9
WEX,40.9
NTAP,40.9
MSGS,40.8
AIRS,40.8
ALV,40.8
DSGN,40.8
USPH,40.8
BA,40.8
GIC,40.8
BAC,40.8
LGIH,40.8
POWI,40.8
FUL,40.7
IDT,40.7
LUMN,40.7
KGS,40.7
KAR,40.7
ARGO,40.7
ADUS,40.7
ZI,40.6
BMY,40.6
MYRG,40.6
MDLZ,40.6
BIIB,40.6
LRCX,40.6
SIX,40.6
IFF,40.6
CERE,40.6
CARS,40.6
MEI,40.5
REXR,40.5
SSTK,40.5
SMPL,40.5
ADV,40.5
AVNS,40.5
SBRA,40.5
NTRA,40.4
BLX,40.4
MO,40.4
NKLA,40.4
DOX,40.4
GATX,40.3
INDB,40.3
VTR,40.3
MTSI,40.3
BDC,40.3
BYFC,40.3
HTH,40.2
STEL,40.2
ALEX,40.2
WELL,40.2
OLN,40.2
SR,40.1
HTZ,40.1
BLDR,40.1
WM,40.1
NOW,40.1
CRD.A,40.0
PLD,40.0
IMVT,40.0
SAGE,40.0
NSIT,40.0
EXPI,40.0
AMR,40.0
NWS,40.0
AZO,40.0
CCS,39.9
INTU,39.9
SRC,39.9
RJF,39.9
ROCK,39.9
BLMN,39.8
ODP,39.8
FET,39.8
DLTR,39.8
MMC,39.8
HSIC,39.8
OMCL,39.8
KWR,39.7
CRK,39.7
SONO,39.7
BYD,39.7
CBSH,39.7
RF,39.7
AGCO,39.7
PMT,39.6
ZS,39.6
CDP,39.6
CSTM,39.6
CENN,39.6
KDP,39.6
WTRG,39.6
HXL,39.6
ROST,39.5
PPL,39.5
NUS,39.5
ESNT,39.4
GIII,39.4
PROK,39.4
OSIS,39.3
GWW,39.3
PCTY,39.3
ETNB,39.3
CPE,39.2
FDX,39.2
AMED,39.2
PNW,39.2
URI,39.2
GEN,39.2
MRVL,39.2
MASI,39.2
GNW,39.2
BILI,39.1
LKQ,39.1
ETD,39.1
MLM,39.1
LAZR,39.1
GPI,39.1
ZBH,39.1
VSAT,39.0
TREX,39.0
CCOI,39.0
GD,39.0
SRE,38.9
ALLE,38.9
STEP,38.9
OFLX,38.8
MRVI,38.8
DNOW,38.8
DFH,38.8
PEP,38.8
PRU,38.8
SCLX,38.8
BCO,38.8
EXPD,38.8
TTEK,38.8
SBAC,38.7
HUM,38.7
RDN,38.7
STLD,38.7
GPC,38.7
NPK,38.7
ESRT,38.7
KNX,38.7
MOMO,38.6
FTV,38.6
MMSI,38.6
INVA,38.6
VCTR,38.6
UDR,38.6
HON,38.6
DCO,38.6
SPLK,38.6
WFRD,38.5
DOLE,38.5
FLNC,38.5
FBK,38.5
MPC,38.5
BIPC,38.4
APLE,38.4
LZB,38.4
BHAC,38.4
LNT,38.4
CG,38.3
HLF,38.3
ECL,38.3
CDRE,38.3
CIVI,38.3
MMS,38.3
ITT,38.3
CSL,38.3
GRFS,38.3
OKTA,38.2
FOXA,38.2
FUTU,38.2
GPK,38.2
AVIR,38.2
QRVO,38.2
JNJ,38.2
APG,38.2
VFC,38.2
CTLT,38.2
PKG,38.2
XOM,38.2
MS,38.1
CCRD,38.1
NARI,38.1
MAS,38.1
PNM,38.0
DBI,38.0
NOC,38.0
CMRE,38.0
ARE,38.0
EPRT,38.0
TT,38.0
GGG,38.0
PXD,38.0
DAL,37.9
F,37.9
GMED,37.9
GOLF,37.9
AME,37.9
BFH,37.9
SLAB,37.9
BW,37.9
SYNA,37.8
NGVT,37.8
UAL,37.8
EVC,37.8
PRI,37.8
APAM,37.8
GLNG,37.8
ALB,37.8
AEE,37.8
AXTA,37.8
ACEL,37.7
BBIO,37.7
SWK,37.7
BLK,37.7
IMCR,37.7
ZNTL,37.7
COST,37.7
MCD,37.7
REG,37.7
